Type,Name,Address,Grade,District,AGA Division,PS/MC/UC
Travel Agents,HOLIDAY PLAN DMC (PVT)LTD,"NO:175/14A,NAWALA ROAD,COLOMBO 5",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,NORTH SOUTH CHINA TRAVEL CO (PTE) LTD,"F-140,1ST FLOOR,LIBERTY PLAZA,250 43/1,R.A DE MEL MW,COLOMBO 03",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,AL FALAH TRAVELS & TOURS,"NO 501,2ND DIVISION,MARADANA,COLOMBO 10",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,RAMECA TRAVEL & LEISURE (PVT) LTD,"LEVEL 03,TISARA PLAZA,NO.135,DUTUGAMUNU STREET,KOHUWALA.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,GLOBAL TRAVELS AND TOURS,"225,SECOND CROSS STREET,COLOMBO 11",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,DUMEE INTERNATIONAL (PVT) LTD,"NO:3,BEUCANAN STREET,COLOMBO 4",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,AMEEN TRAVELS,"NO:133/17,D.B.WELAGEDARA MAWATHA,KURUNEGALA",,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat
Travel Agents,TRAVELMATE LANKA (PVT) LTD,"OCEANS 08,26/08,DE SERAM ROAD,MOUNT LAVINIA",,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat
Travel Agents,FAHAMAS TRAVELS,"NO.47,LUKMANJEE SQUARE,GRANDPASS ROAD,COLOMBO 14.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,BLUE LOTUS,"WELIWALA WATTA,KOTUKOLINA,DODANDUWA",,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat
Travel Agents,RASHADI TRAVELS,"NO 03,1 ST FLOOR,SALEEM COMPLEX,DAMBULLA ROAD,IBBAGAMUWA",,Kurunegala,Kurunegala,Ibbagamuwa Divisional Secretariat
Travel Agents,HOTEL ASHFORD SCHOOL AND TRAVEL AGENT (PVT) LTD,"NO 214,BANDARAGAMA ROAD,KESBEWA",,Colombo,Colombo,Kesbewa Divisional Secretariat
Travel Agents,AL-HAFIL TRAVEL AND TOURS(HAJ UMRA),"21/A/2,HASSAN MAWATHA,MAWANELLA",,Kegalle,Kegalle,Kegalle Divisional Secretariat
